1379,1140
2378,2140
3377,3140
4369,4140
5356,5140
6392,6140
7380,7140
8378,8140
9378,9140
10360,10140
11377,11140
12366,12140
13376,13140
14356,14140
15365,15140
16360,16140
17371,17140
18385,18140
19373,19140
20361,20140
21374,21140
22364,22140
23383,23140
24366,24140
25381,25140
26375,26140
27367,27140
28365,28140
29386,29140
30390,30140
31390,31140
32387,32140
33387,33140
34382,34140
35364,35140
36363,36140
37355,37140
38362,38140
39364,39140
40362,40140
41364,41140
42372,42140
43358,43140
44358,44140
45367,45140
46377,46140
47375,47140
48373,48140
49375,49140
50354,50140
51381,51140
52383,52140
53354,53140
54374,54140
55354,55139
56366,56139
57381,57139
58363,58139
59371,59139
60386,60139
61358,61139
62365,62139
63384,63139
64365,64139
65373,65139
66365,66139
67381,67139
68355,68139
69366,69139
70363,70139
71381,71139
72377,72139
73367,73139
74366,74139
75367,75139
76372,76139
77373,77139
78377,78139
79366,79139
80375,80139
81368,81139
82369,82139
83368,83139
84382,84139
85368,85139
86367,86139
87368,87139
88376,88139
89374,89139
90371,90139
91386,91139
92372,92139
93369,93139
94385,94139
95364,95139
96387,96139
97375,97139
98359,98139
99367,99139
100375,100139
101373,101139
102386,102139
103366,103139
104363,104139
105376,105139
106375,106139
107363,107139
108378,108139
109357,109139
110384,110139
111371,111138
112365,112138
113383,113138
114375,114138
115375,115138
116360,116138
117369,117138
118359,118138
119374,119138
120368,120138
121378,121138
122369,122138
123368,123138
124384,124138
125358,125138
126362,126138
127367,127138
128375,128138
129355,129138
130356,130138
131364,131138
132379,132138
133367,133138
134372,134138
135379,135138
136370,136138
137359,137138
138389,138138
139371,139138
140354,140138
141351,141138
142371,142138
143352,143138
144369,144138
145377,145138
146368,146138
147358,147138
148360,148138
149352,149138
150361,150138
151349,151138
152368,152138
153367,153138
154357,154138
155360,155138
156367,156138
157381,157138
158376,158138
159378,159138
160358,160138
161347,161138
162357,162138
163367,163138
164357,164138
165361,165138
166358,166137
167370,167137
168373,168137
169369,169137
170366,170137
171360,171137
172366,172137
173368,173137
174379,174137
175375,175137
176384,176137
177366,177137
178388,178137
179367,179137
180379,180137
181367,181137
182365,182137
183381,183137
184365,184137
185385,185137
186387,186137
187366,187137
188377,188137
189369,189137
190380,190137
191367,191137
192398,192137
193382,193137
194383,194137
195382,195137
196367,196137
197389,197137
198386,198137
199385,199137
200363,200137
201361,201137
202365,202137
203387,203137
204364,204137
205365,205137
206367,206137
207365,207137
208366,208137
209373,209137
210361,210137
211363,211137
212376,212137
213364,213137
214374,214137
215365,215137
216366,216137
217376,217137
218363,218137
219374,219137
220355,220137
221359,221137
222369,222136
223375,223136
224364,224136
225372,225136
226371,226136
227362,227136
228376,228136
229365,229136
230357,230136
231354,231136
232363,232136
233373,233136
234365,234136
235362,235136
236357,236136
237368,237136
238368,238136
239365,239136
240384,240136
241374,241136
242376,242136
243371,243136
244361,244136
245366,245136
246384,246136
247365,247136
248365,248136
249382,249136
250381,250136
251364,251136
252384,252136
253354,253136
254365,254136
255380,255136
256366,256136
257364,257136
258390,258136
259381,259136
260382,260136
261387,261136
262359,262136
263369,263136
264377,264136
265362,265136
266378,266136
267358,267136
268366,268136
269388,269136
270407,270136
271382,271136
272400,272136
273390,273136
274384,274136
275386,275136
276390,276136
277378,277136
278389,278135
279382,279135
280387,280135
281397,281135
282411,282135
283392,283135
284390,284135
285391,285135
286372,286135
287380,287135
288387,288135
289394,289135
290367,290135
291378,291135
292369,292135
293390,293135
294384,294135
295381,295135
296371,296135
297370,297135
298380,298135
299370,299135
300394,300135
301381,301135
302392,302135
303388,303135
304379,304135
305378,305135
306385,306135
307390,307135
308371,308135
309380,309135
310378,310135
311372,311135
312423,312135
313417,313135
314416,314135
315380,315135
316388,316135
317372,317135
318382,318135
319408,319135
320418,320135
321398,321135
322401,322135
323389,323135
324399,324135
325370,325135
326397,326135
327390,327135
328378,328135
329399,329135
330389,330135
331378,331135
332388,332135
333386,333135
334395,334134
335383,335134
336387,336134
337375,337134
338387,338134
339385,339134
340376,340134
341376,341134
342387,342134
343389,343134
344369,344134
345377,345134
346379,346134
347385,347134
348378,348134
349376,349134
350390,350134
351378,351134
352368,352134
353397,353134
354389,354134
355369,355134
356396,356134
357386,357134
358378,358134
359378,359134
360392,360134
361405,361134
362385,362134
363396,363134
364404,364134
365396,365134
366417,366134
367403,367134
368418,368134
369376,369134
370399,370134
371413,371134
372417,372134
373403,373134
374411,374134
375401,375134
376416,376134
377412,377134
378414,378134
379374,379134
380385,380134
381423,381134
382403,382134
383423,383134
384423,384134
385372,385134
386376,386134
387395,387134
388392,388134
389376,389134
390391,390133
391375,391133
392387,392133
393396,393133
394385,394133
395396,395133
396403,396133
397396,397133
398369,398133
399378,399133
400380,400133
401392,401133
402389,402133
403384,403133
404387,404133
405377,405133
406385,406133
407369,407133
408379,408133
409376,409133
410379,410133
411386,411133
412396,412133
413368,413133
414380,414133
415392,415133
416388,416133
417378,417133
418380,418133
419390,419133
420389,420133
421379,421133
422406,422133
423396,423133
424387,424133
425414,425133
426397,426133
427377,427133
428370,428133
429373,429133
430417,430133
431384,431133
432390,432133
433377,433133
434370,434133
435388,435133
436377,436133
437397,437133
438379,438133
439396,439133
440386,440133
441377,441133
442424,442133
443368,443133
444387,444133
445376,445133
446377,446133
447376,447132
448402,448132
449412,449132
450378,450132
451392,451132
452414,452132
453396,453132
454374,454132
455374,455132
456405,456132
457412,457132
458410,458132
459384,459132
460423,460132
461366,461132
462386,462132
463393,463132
464366,464132
465374,465132
466373,466132
