1268,1268,2
2969,2387,3
3940,3386,4
4950,4387,4
5991,5386,5
6940,6387,6
7938,7386,6
8938,8385,4
9930,9386,4
10948,10385,4
11992,11386,6
12928,12385,6
13938,13385,6
14999,14385,6
15947,15385,7
16938,16385,7
17941,17384,7
18930,18384,7
19929,19384,7
20927,20384,7
21929,21384,7
22947,22384,7
23983,23383,7
24927,24383,8
25927,25383,8
26978,26382,8
27936,27383,8
28944,28382,8
29937,29383,7
30927,30382,5
31934,31381,5
32979,32382,6
33927,33381,4
34929,34382,5
36012,35381,5
36933,36381,5
37932,37381,6
38932,38380,6
39932,39381,6
40932,40380,6
41941,41380,7
42939,42380,6
43940,43380,6
44974,44379,6
45930,45380,7
46949,46379,7
48001,47379,7
48940,48379,7
49937,49378,8
50939,50379,8
51938,51378,8
52938,52379,8
53990,53378,7
54930,54377,7
55927,55378,7
56980,56377,7
57936,57378,7
58937,58377,7
59938,59377,7
60936,60377,7
61927,61376,7
62928,62376,7
63929,63376,7
64928,64376,7
65984,65376,7
66927,66376,7
67936,67375,8
68979,68375,7
69935,69375,7
70933,70375,7
71949,71375,7
72701,72374,7
73711,73375,7
74722,74374,7
75709,75373,8
76709,76374,7
77722,77373,7
78708,78374,7
79713,79373,6
80706,80373,6
81707,81373,6
82709,82373,6
83733,83373,6
84707,84372,6
85711,85372,6
86707,86372,6
87714,87372,6
88707,88371,6
89724,89372,6
90713,90371,6
91924,91371,6
92931,92371,6
93924,93370,6
94916,94371,6
95931,95370,6
96969,96370,6
97924,97370,6
98943,98369,6
99985,99370,6
100923,100369,6
101934,101369,6
102914,102369,6
103923,103369,6
104921,104369,6
105912,105369,6
106923,106368,6
107931,107368,6
108966,108368,6
109920,109367,6
110928,110368,6
111972,111367,6
112913,112368,6
113928,113367,6
114913,114366,6
115920,115367,6
116919,116366,6
117962,117367,6
118918,118366,6
119938,119366,6
120964,120366,6
121927,121365,6
122920,122365,6
123909,123365,6
124936,124365,6
125936,125365,6
126909,126365,6
127926,127364,6
128926,128364,6
129970,129364,6
130917,130364,6
131928,131364,6
132960,132363,6
133925,133364,6
134923,134363,6
135915,135362,6
136916,136363,6
137930,137362,6
138970,138363,6
139914,139362,6
140924,140362,6
141959,141362,6
142914,142362,6
143924,143361,6
144916,144361,6
145909,145361,6
146908,146361,6
147908,147361,6
148912,148360,6
149924,149361,6
150966,150360,6
151904,151359,6
152924,152360,6
153965,153359,6
154912,154360,6
155924,155359,6
156905,156359,6
157904,157359,6
158912,158358,6
159957,159358,6
160912,160358,6
161923,161358,6
162956,162358,6
163914,163358,6
164903,164357,6
165902,165357,6
166903,166357,6
167912,167357,6
168902,168357,6
169910,169356,6
170900,170357,6
171961,171356,6
172911,172356,6
173910,173356,6
174951,174355,6
175901,175356,6
176909,176355,6
177901,177355,5
178901,178355,5
179911,179355,5
180960,180354,5
181898,181354,5
182908,182354,5
183949,183354,5
184898,184354,5
185908,185353,5
186897,186354,5
187907,187353,5
188898,188352,4
189905,189353,4
190897,190352,4
191906,191353,4
192950,192352,4
193898,193352,5
194906,194352,5
195955,195351,5
196904,196351,5
197918,197351,5
198914,198351,5
199904,199351,5
200914,200351,5
201973,201350,5
203612,202351,6
204664,204349,5
205604,205350,5
206611,206349,5
207611,207350,5
208612,208349,5
209613,209349,6
210614,210349,5
211611,211348,5
212612,212348,5
213654,213348,5
214792,214467,5
215737,215466,5
216877,216585,5
217880,217585,5
218875,218585,5
219857,219585,5
220853,220585,5
221885,221585,5
222863,222584,4
223925,223584,5
224861,224584,4
