x,Ser Millis,PPS Millis,,,
289,299110,298633,,,
290,300046,299633,,,
291,301052,300634,,,
292,302053,301634,,,
293,303043,302635,,,
294,304175,303635,,,
295,305139,304635,,,
296,306156,305636,,,
297,307205,306636,,,
298,308224,307637,,,
299,309211,308637,,,
300,310175,309638,,,
301,311175,310638,,,
302,312187,311639,,,
303,313222,312639,,,
304,314168,313640,,,
305,315155,314641,,,
306,316147,315641,,,
307,317147,316642,,,
308,318167,317642,,,
309,319179,318643,,,
310,320194,319643,,,
311,321161,320644,,,
312,322164,321644,,,
313,323156,322644,,,
314,324146,323645,,,
315,325160,324645,,,
316,326217,325646,,,
317,327213,326646,,,
318,328183,327647,,,
319,329167,328647,,,
320,330162,329648,,,
321,331261,330648,,,
322,332277,331649,,,
323,333230,332649,,,
324,334238,333649,,,
325,335284,334650,,,
326,336216,335650,,,
327,337283,336651,,,
328,338271,337651,,,
329,339280,338652,,,
330,340285,339652,,,
331,341216,340653,,,
332,342228,341653,,,
333,343217,342653,,,
334,344239,343654,,,
335,345229,344654,,,
336,346212,345655,,,
337,347224,346655,,,
338,348242,347656,,,
339,349242,348656,,,
340,350237,349657,,,
341,351233,350658,,,
342,352285,351659,,,
343,353268,352659,,,
344,354217,353659,,,
345,355237,354660,,,
346,356290,355660,,,
347,357278,356661,,,
348,358276,357661,,,
349,359274,358662,,,
350,360276,359662,,,
351,361227,360663,,,
352,362249,361663,,,
353,363237,362663,,,
354,364241,363664,,,
355,365241,364664,,,
356,366222,365665,,,
357,367227,366665,,,
358,368253,367666,,,
359,369252,368666,,,
360,370252,369667,,,
361,371253,370667,,,
362,372252,371667,,,
363,373287,372668,,,
364,374291,373668,,,
365,375243,374669,,,
366,376231,375669,,,
367,377282,376670,,,
368,378276,377670,,,
369,379291,378671,,,
370,380309,379671,,,
371,381287,380672,,,
372,382234,381672,,,
373,383246,382672,,,
374,384231,383673,,,
375,385229,384673,,,
376,386241,385674,,,
377,387200,386675,,,
378,388245,387676,,,
379,389249,388676,,,
380,390212,389677,,,
381,391246,390677,,,
382,392265,391677,,,
383,393254,392678,,,
384,394289,393678,,,
385,395290,394679,,,
386,396185,395679,,,
387,397251,396680,,,
388,398294,397680,,,
389,399284,398681,,,
390,400302,399681,,,
391,401295,400681,,,
392,402241,401682,,,
393,403181,402682,,,
394,404202,403683,,,
395,405190,404683,,,
396,406208,405684,,,
397,407243,406684,,,
398,408237,407685,,,
399,409186,408685,,,
400,410216,409686,,,
401,411204,410686,,,
402,412250,411686,,,
403,413266,412687,,,
404,414265,413687,,,
405,415295,414688,,,
406,416269,415688,,,
407,417263,416689,,,
408,418250,417689,,,
409,419310,418690,,,
410,420269,419690,,,
411,421255,420691,,,
412,422220,421692,,,
413,423226,422692,,,
414,424256,423693,,,
415,425167,424693,,,
416,426271,425694,,,
417,427220,426694,,,
418,428278,427695,,,
419,429368,428695,,,
420,430351,429696,,,
421,431267,430696,,,
422,432401,431696,,,
423,433414,432697,,,
424,434422,433697,,,
425,435215,434698,,,
426,436397,435698,,,
427,437354,436699,,,
428,438502,437699,,,
429,439368,438700,,,
430,440370,439700,,,
431,441154,440700,,,
432,442351,441701,,,
433,443348,442701,,,
434,444309,443702,,,
435,445415,444702,,,
436,446425,445703,,,
437,447360,446703,,,
438,448371,447704,,,
439,449360,448704,,,
440,450254,449704,,,
441,451272,450705,,,
442,452277,451705,,,
443,453310,452706,,,
444,454329,453706,,,
445,455326,454707,,,
446,456337,455708,,,
447,457312,456709,,,
448,458288,457709,,,
449,459364,458710,,,
450,460374,459710,,,
451,461372,460710,,,
452,462219,461711,,,
453,463218,462711,,,
454,464210,463712,,,
455,465411,464712,,,
456,466408,465713,,,
457,467203,466713,,,
458,468284,467714,,,
459,469266,468714,,,
460,470367,469714,,,
461,471371,470715,,,
462,472356,471715,,,
463,473201,472716,,,
464,474428,473716,,,
465,475266,474717,,,
466,476214,475717,,,
467,477242,476718,,,
468,478257,477718,,,
469,479203,478718,,,
470,480141,479719,,,
471,481161,480719,,,
472,482162,481720,,,
473,483210,482720,,,
474,484200,483721,,,
475,485229,484721,,,
476,486183,485722,,,
477,487203,486722,,,
478,488164,487723,,,
479,489154,488724,,,
480,490131,489724,,,
481,491152,490725,,,
482,492157,491725,,,
483,493137,492726,,,
484,494167,493726,,,
485,495192,494727,,,
486,496208,495727,,,
487,497267,496728,,,
488,498199,497728,,,
489,499252,498728,,,
490,500202,499729,,,
491,501154,500729,,,
492,502172,501730,,,
493,503156,502730,,,
494,504157,503731,,,
495,505157,504731,,,
496,506179,505732,,,
497,507210,506732,,,
498,508194,507732,,,
499,509146,508733,,,
500,510146,509733,,,
501,511151,510734,,,
502,512169,511734,,,
503,513140,512735,,,
504,514145,513735,,,
505,515168,514736,,,
506,516208,515736,,,
507,517214,516737,,,
508,518209,517737,,,
509,519206,518737,,,
510,520217,519738,,,
511,521207,520738,,,
512,522219,521740,,,
513,523201,522740,,,
514,524188,523741,,,
515,525218,524741,,,
516,526168,525742,,,
517,527164,526742,,,
518,528181,527742,,,
519,529162,528743,,,
520,530174,529743,,,
521,531378,530744,,,
522,532165,531744,,,
523,533166,532745,,,
524,534165,533745,,,
525,535183,534746,,,
526,536198,535746,,,
527,536819,536747,,,
528,537833,537747,,,
529,538833,538747,,,
530,539822,539748,,,
531,540835,540748,,,
532,541837,541749,,,
533,542836,542749,,,
534,543836,543750,,,
535,544818,544750,,,
536,545824,545751,,,
537,546832,546751,,,
538,547845,547751,,,
539,548844,548752,,,
540,549832,549752,,,
541,550838,550753,,,
542,551845,551753,,,
543,552837,552754,,,
544,553830,553754,,,
545,554829,554756,,,
546,555827,555756,,,
547,556826,556756,,,
548,557829,557757,,,
549,558829,558757,,,
550,559853,559758,,,
551,560832,560758,,,
552,561840,561759,,,
553,562837,562759,,,
554,563838,563760,,,
555,565238,564760,,,
556,566175,565761,,,
557,567168,566761,,,
558,568230,567761,,,
559,569230,568762,,,
560,570234,569762,,,
561,571227,570763,,,
562,572196,571763,,,
563,573166,572764,,,
564,574174,573764,,,
565,575187,574765,,,
566,576189,575765,,,
567,577149,576765,,,
568,578148,577766,,,
569,579138,578766,,,
570,580120,579767,,,
571,581106,580767,,,
572,582106,581768,,,
573,583168,582768,,,
574,584177,583769,,,
575,585192,584769,,,
576,586192,585769,,,
577,587159,586771,,,
578,588161,587771,,,
579,589209,588772,,,
580,590202,589772,,,
581,591200,590773,,,
582,592211,591773,,,
583,593153,592774,,,
584,594206,593774,,,
585,595163,594775,,,
586,596176,595775,,,
587,597164,596775,,,
588,598162,597776,,,
589,599219,598776,,,
590,600162,599777,,,
591,601170,600777,,,
592,602232,601778,,,
593,603213,602778,,,
594,604226,603779,,,
595,605216,604779,,,
596,606257,605779,,,
597,607267,606780,,,
598,608366,607780,,,
599,609157,608781,,,
600,610205,609781,,,
601,611198,610782,,,
602,612203,611782,,,
603,613204,612783,,,
604,614193,613783,,,
605,615173,614784,,,
606,616156,615784,,,
607,617214,616784,,,
608,618163,617785,,,
609,619158,618786,,,
610,620231,619787,,,
611,621177,620787,,,
612,622233,621788,,,
613,623237,622788,,,
614,624187,623789,,,
615,625211,624789,,,
616,626241,625789,,,
617,627231,626790,,,
618,628233,627790,,,
619,629216,628791,,,
620,630232,629791,,,
621,631224,630792,,,
622,632242,631792,,,
623,633250,632793,,,
624,634176,633793,,,
625,635188,634793,,,
626,636170,635794,,,
627,637179,636794,,,
628,638181,637795,,,
629,639208,638795,,,
630,640187,639796,,,
631,641190,640796,,,
632,642176,641797,,,
633,643175,642797,,,
634,644226,643798,,,
635,645235,644798,,,
636,646225,645798,,,
637,647243,646799,,,
638,648202,647799,,,
639,649203,648800,,,
640,650216,649800,,,
641,651184,650802,,,
642,652205,651802,,,
643,653204,652803,,,
644,654231,653803,,,
645,655250,654803,,,
646,656247,655804,,,
647,657232,656804,,,
648,658252,657805,,,
649,659195,658805,,,
650,660179,659806,,,
651,661182,660806,,,
652,662204,661807,,,
653,663176,662807,,,
654,664195,663808,,,
655,665226,664808,,,
656,666249,665808,,,
657,667232,666809,,,
658,668249,667809,,,
659,669200,668810,,,
660,670197,669810,,,
661,671211,670811,,,
662,672186,671811,,,
663,673187,672812,,,
664,674204,673812,,,
665,675239,674812,,,
666,676254,675813,,,
667,677258,676813,,,
668,678239,677814,,,
669,679203,678814,,,
670,680216,679815,,,
671,681204,680815,,,
672,682187,681817,,,
673,683197,682817,,,
674,684207,683817,,,
675,685206,684818,,,
676,686249,685818,,,
677,687253,686819,,,
678,688252,687819,,,
679,689256,688820,,,
680,690206,689820,,,
681,691221,690821,,,
682,692235,691821,,,
683,693202,692822,,,
684,694212,693822,,,
685,695203,694822,,,
686,696256,695823,,,
687,697248,696823,,,
688,698278,697824,,,
689,699250,698824,,,
690,700217,699825,,,
691,701225,700825,,,
692,702199,701826,,,
693,703209,702826,,,
694,704210,703826,,,
695,705210,704827,,,
696,706203,705827,,,
697,707254,706828,,,
698,708272,707828,,,
699,709256,708829,,,
700,710278,709829,,,
701,711213,710830,,,
702,712230,711830,,,
703,713232,712830,,,
704,714206,713832,,,
705,715209,714832,,,
706,716231,715833,,,
707,717265,716833,,,
708,718265,717834,,,
709,719278,718834,,,
710,720335,719835,,,
711,721275,720835,,,
712,722295,721836,,,
713,723227,722836,,,
714,724228,723836,,,
715,725226,724837,,,
716,726226,725837,,,
717,727209,726838,,,
718,728279,727838,,,
719,729268,728839,,,
720,730261,729839,,,
721,731279,730840,,,
722,732223,731840,,,
723,733300,732840,,,
724,734312,733841,,,
725,735320,734841,,,
726,736223,735842,,,
727,737328,736842,,,
728,738269,737843,,,
729,739301,738843,,,
730,740234,739844,,,
731,741223,740844,,,
732,742223,741844,,,
733,743225,742845,,,
734,744223,743845,,,
735,745246,744847,,,
736,746268,745847,,,
737,747242,746848,,,
738,748232,747848,,,
739,749244,748849,,,
740,750249,749849,,,
741,751279,750850,,,
742,752319,751850,,,
743,753248,752850,,,
744,754240,753851,,,
745,755307,754851,,,
746,756231,755852,,,
747,757257,756852,,,
748,758219,757853,,,
749,759252,758853,,,
750,760251,759854,,,
751,761252,760854,,,
752,762235,761854,,,
753,763235,762855,,,
754,764290,763855,,,
755,765229,764856,,,
756,766232,765856,,,
757,767232,766857,,,
758,768227,767857,,,
759,769235,768858,,,
760,770240,769858,,,
761,771241,770859,,,
762,772338,771859,,,
763,773339,772859,,,
764,774329,773860,,,
765,775344,774860,,,
766,776349,775862,,,
767,777344,776862,,,
768,778283,777863,,,
769,779253,778863,,,
770,780303,779864,,,
771,781306,780864,,,
772,782275,781864,,,
773,783267,782865,,,
774,784250,783865,,,
775,785258,784866,,,
776,786245,785866,,,
777,787246,786867,,,
778,788267,787867,,,
779,789240,788868,,,
780,790248,789868,,,
781,791248,790868,,,
782,792259,791869,,,
783,793295,792869,,,
784,794308,793870,,,
785,795323,794870,,,
786,796301,795871,,,
787,797299,796871,,,
788,798316,797872,,,
789,799256,798872,,,
790,800277,799873,,,
791,801353,800873,,,
792,802332,801873,,,
793,803298,802874,,,
794,804314,803874,,,
795,805313,804875,,,
796,806307,805875,,,
797,807300,806877,,,
798,808286,807877,,,
799,809304,808878,,,
800,810287,809878,,,
801,811291,810878,,,
802,812304,811879,,,
803,813325,812879,,,
804,814344,813880,,,
805,815368,814880,,,
806,816364,815881,,,
807,817369,816881,,,
808,818375,817882,,,
809,819350,818882,,,
810,820313,819883,,,
811,821309,820883,,,
812,822348,821883,,,
813,823354,822884,,,
814,824325,823884,,,
815,825312,824885,,,
816,826324,825885,,,
817,827315,826886,,,
818,828317,827886,,,
819,829299,828887,,,
820,830314,829887,,,
821,831299,830887,,,
822,832296,831888,,,
823,833277,832888,,,
824,834286,833889,,,
825,835315,834889,,,
826,836342,835890,,,
827,837315,836891,,,
828,838313,837892,,,
829,839326,838892,,,
830,840309,839892,,,
831,841335,840893,,,
832,842343,841893,,,
833,843335,842894,,,
834,844294,843894,,,
835,845292,844895,,,
836,846274,845895,,,
